,DRUG/NARCOTIC OFFENSES,LARCENY-THEFT,ROBBERY,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,DRIVING UNDER THE INFLUENCE,FRAUD OFFENSES,KIDNAPPING/ABDUCTION,COUNTERFEITING/FORGERY,PORNOGRAPHY/OBSCENE MATERIAL,EXTORTION/BLACKMAIL,MOTOR VEHICLE THEFT,SEX OFFENSES,STOLEN PROPERTY OFFENSES,EMBEZZLEMENT,WEAPON LAW VIOLATIONS,ARSON,HUMAN TRAFFICKING,LIQUOR LAW VIOLATIONS,BAD CHECKS,PROSTITUTION OFFENSES,"FAMILY OFFENSES, NONVIOLENT",CURFEW/LOITERING/VAGRANCY VIOLATIONS,ANIMAL CRUELTY,HOMICIDE OFFENSES,PEEPING TOM,"SEX OFFENSES, CONSENSUAL",DRUNKENNESS,BRIBERY,GAMBLING OFFENSES,TRESPASS OF REAL PROPERTY,ASSAULT OFFENSES,BURGLARY/BREAKING&ENTERING
SLU/CASCADE,1444.0,15530.0,928.0,3257.0,817.0,1955.0,46.0,189.0,6.0,43.0,1126.0,270.0,212.0,118.0,370.0,50.0,0.0,117.0,221.0,639.0,287.0,76.0,2.0,13.0,5.0,3.0,1.0,0.0,1.0,1497.0,6183.0,3520.0
CHINATOWN/INTERNATIONAL DISTRICT,1786.0,10913.0,883.0,1708.0,329.0,547.0,22.0,91.0,2.0,10.0,700.0,133.0,169.0,20.0,294.0,23.0,0.0,92.0,81.0,301.0,101.0,38.0,2.0,14.0,0.0,1.0,0.0,1.0,1.0,1261.0,2951.0,1253.0
SANDPOINT,85.0,6838.0,173.0,1668.0,221.0,2572.0,8.0,82.0,7.0,23.0,1077.0,104.0,29.0,18.0,50.0,27.0,1.0,25.0,140.0,10.0,597.0,0.0,1.0,8.0,2.0,12.0,0.0,0.0,0.0,184.0,1826.0,3128.0
HILLMAN CITY,88.0,1151.0,204.0,518.0,65.0,246.0,5.0,28.0,3.0,1.0,389.0,27.0,37.0,10.0,80.0,9.0,0.0,12.0,25.0,8.0,103.0,2.0,0.0,4.0,0.0,1.0,0.0,0.0,1.0,92.0,819.0,621.0
HIGH POINT,80.0,1867.0,148.0,886.0,96.0,464.0,9.0,38.0,3.0,10.0,535.0,75.0,35.0,14.0,72.0,15.0,0.0,10.0,48.0,2.0,245.0,2.0,3.0,3.0,0.0,2.0,0.0,0.0,0.0,151.0,1924.0,615.0
MOUNT BAKER,285.0,4460.0,351.0,1058.0,190.0,656.0,19.0,55.0,2.0,7.0,694.0,69.0,82.0,20.0,163.0,31.0,0.0,42.0,104.0,6.0,181.0,3.0,0.0,4.0,3.0,2.0,1.0,0.0,0.0,427.0,1779.0,1247.0
HIGHLAND PARK,156.0,3001.0,165.0,1258.0,202.0,567.0,14.0,28.0,2.0,11.0,1091.0,68.0,60.0,4.0,115.0,16.0,0.0,10.0,56.0,8.0,227.0,3.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,141.0,1740.0,1295.0
BITTERLAKE,351.0,5672.0,316.0,1653.0,296.0,1223.0,24.0,178.0,7.0,11.0,1249.0,115.0,89.0,27.0,117.0,22.0,2.0,25.0,244.0,148.0,266.0,6.0,1.0,6.0,4.0,6.0,0.0,1.0,0.0,495.0,2717.0,2394.0
PIONEER SQUARE,1027.0,4993.0,466.0,1268.0,406.0,591.0,12.0,74.0,1.0,8.0,321.0,99.0,61.0,56.0,218.0,27.0,0.0,144.0,49.0,25.0,85.0,118.0,1.0,10.0,1.0,0.0,0.0,0.0,0.0,913.0,3922.0,649.0
BELLTOWN,1641.0,10484.0,583.0,1976.0,447.0,1049.0,22.0,57.0,0.0,17.0,576.0,144.0,113.0,43.0,253.0,15.0,0.0,70.0,96.0,88.0,90.0,101.0,0.0,12.0,2.0,1.0,0.0,1.0,0.0,668.0,4109.0,1841.0
SOUTH BEACON HILL,90.0,861.0,128.0,479.0,82.0,277.0,12.0,20.0,3.0,6.0,301.0,38.0,23.0,9.0,51.0,12.0,0.0,2.0,36.0,0.0,131.0,0.0,0.0,4.0,0.0,2.0,0.0,0.0,0.0,53.0,704.0,770.0
RAINIER VIEW,139.0,2414.0,148.0,982.0,169.0,553.0,9.0,22.0,0.0,8.0,768.0,54.0,40.0,7.0,135.0,17.0,0.0,8.0,69.0,1.0,197.0,1.0,2.0,6.0,0.0,8.0,0.0,1.0,0.0,94.0,1340.0,1825.0
JUDKINS PARK/NORTH BEACON HILL,286.0,2445.0,200.0,735.0,156.0,319.0,10.0,13.0,7.0,6.0,408.0,51.0,52.0,11.0,90.0,20.0,0.0,12.0,38.0,53.0,98.0,7.0,0.0,6.0,3.0,0.0,0.0,0.0,2.0,270.0,1245.0,860.0
EASTLAKE - WEST,33.0,2217.0,34.0,500.0,54.0,371.0,1.0,12.0,3.0,6.0,631.0,11.0,21.0,12.0,19.0,8.0,0.0,2.0,38.0,2.0,18.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,75.0,404.0,1047.0
MADRONA/LESCHI,276.0,3987.0,208.0,1207.0,154.0,811.0,5.0,50.0,5.0,5.0,622.0,78.0,44.0,13.0,144.0,19.0,0.0,26.0,105.0,9.0,214.0,7.0,0.0,9.0,1.0,2.0,0.0,0.0,1.0,301.0,1662.0,1397.0
GREENWOOD,517.0,6994.0,387.0,1962.0,435.0,1258.0,28.0,120.0,8.0,13.0,1509.0,124.0,160.0,43.0,159.0,45.0,4.0,50.0,143.0,96.0,250.0,4.0,1.0,10.0,3.0,3.0,2.0,1.0,0.0,642.0,2638.0,2313.0
MADISON PARK,27.0,1248.0,20.0,299.0,80.0,333.0,0.0,12.0,0.0,5.0,176.0,10.0,5.0,8.0,15.0,2.0,0.0,7.0,28.0,0.0,15.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,65.0,189.0,446.0
NORTH DELRIDGE,91.0,1898.0,91.0,806.0,129.0,415.0,6.0,32.0,4.0,4.0,483.0,48.0,32.0,6.0,75.0,13.0,0.0,4.0,45.0,2.0,160.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,172.0,1318.0,873.0
